iter	Passed	Remaining
702	5459	753
703	5465	745
704	5473	737
705	5481	729
706	5487	721
707	5494	713
708	5502	706
709	5509	698
710	5518	690
711	5524	682
712	5531	674
713	5539	667
714	5546	659
715	5554	651
716	5562	643
717	5569	636
718	5576	628
719	5583	620
720	5591	612
721	5597	604
722	5604	596
723	5612	589
724	5620	581
725	5626	573
726	5634	565
727	5643	558
728	5650	550
729	5657	542
730	5663	534
731	5671	526
732	5679	519
733	5687	511
734	5695	503
735	5702	495
736	5709	488
737	5717	480
738	5724	472
739	5731	464
740	5738	456
741	5746	449
742	5754	441
743	5760	433
744	5767	425
745	5775	418
746	5782	410
747	5790	402
748	5799	394
749	5807	387
750	5813	379
751	5821	371
752	5829	363
753	5837	356
754	5845	348
755	5853	340
756	5863	333
757	5872	325
758	5879	317
759	5888	309
760	5898	302
761	5907	294
762	5916	286
763	5925	279
764	5933	271
765	5942	263
766	5950	256
767	5959	248
768	5967	240
769	5976	232
770	5984	225
771	5992	217
772	6001	209
773	6011	201
774	6020	194
775	6028	186
776	6037	178
777	6045	170
778	6052	163
779	6061	155
780	6069	147
781	6077	139
782	6086	132
783	6095	124
784	6103	116
785	6112	108
786	6120	101
787	6129	93
788	6138	85
789	6147	77
790	6157	70
791	6165	62
792	6174	54
793	6182	46
794	6190	38
795	6199	31
796	6206	23
797	6214	15
798	6223	7
799	6232	0
